nro	anio	mes	dia	Azul	BahiaBlanca	'Bella Vista'	'Buenos Aires'	'Caseros'	'Ceres'	'Concordia'	'Cordoba'	'Corrientes'	'Formosa'	'Gral Pico'	'Gualeguaychu'	'Junin'	'La Plata'	'Laboulaye'	'Marcos Juarez'	'Mar del Plata'	'Parana'	'Paso de los Libres'	'Pehuajo'	'Pergamino'	'Posadas'	'Reconquista'	'Rio Cuarto'	'Rosario'	'San Luis'	'Sauce Viejo'	'Santa Rosa'	'Tandil'	'Tres Arroyos'
99	1970	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	1970	4	10	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	1970	4	11	7.4	0.9	0	4.8	0	0	0	3.2	0	0	3.1	11.4	12	5.8	0	0	18.6	26.8	0	0	3.5	0	0	0	43.5	0	21	0	12	3.5
102	1970	4	12	3.5	-999	0	60.8	0	0	0	0	0	0	0	11.6	0	26	0	0	2	3.1	0	14.5	0	0	0	0	2.3	0	0	0	0	1.5
103	1970	4	13	0	0	0	0.4	0	0	2	0	0	0	0	8.1	0	0	0	6	0	5.8	0	0.2	0	0	0	0	0	0	5.6	0.2	0	0
104	1970	4	14	0	0	0	0	4.7	0	16.6	0	1	0	0	1.5	0	0	0.2	-999	0	5.1	0	0	0	0	5.9	0	1.2	0	4	0	0	0
105	1970	4	15	0	0	0	0	0	0	0	0	1.7	3.8	0	0	0	0	0	0	0	0	0	0	0	3.4	0.2	0	0	0	0	0	0	0
106	1970	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	1970	4	17	0	0	0	53.2	0	0	0	0	0	0	0	0	0	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	1970	4	18	0	0	0	0	0	0	0	0	0	0	0	-999	16.4	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	1970	4	19	0	0	0	3.4	0	0	0	0	0	0	0	0	0	53.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	1970	4	20	3.6	0	0	0	0	0	0	0	0	0	0	0	0	11.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	1970	4	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	1970	4	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4	0	0	0	0	0	0	0	0	0	0	0	0	2.3
113	1970	4	23	18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0.9
114	1970	4	24	1.6	-999	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1.6
115	1970	4	25	0	0	0	0.4	5	0	19.2	0	0	0	0	4.5	0.8	0	1.3	0.9	7.4	0	0	0	0.9	0	0	0	1.8	3	0	0	0	4.6
116	1970	4	26	0	0	0	0	3.5	0	1.6	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	6.4	0	0	0.5	0	0	0	0	0
117	1970	4	27	0	0	2.4	0	0	1.2	0	0	14.1	6	0	0	0	0	0	0	0	0	0	0	0	1.6	2.6	0	0	0	0	0	0	0
118	1970	4	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	1970	4	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	1970	4	30	0	0	5.7	0	4.2	5.6	4	0	2.7	0	0	0	0	0	0	0	0	-999	0	0	0	0	4.1	0	0	0	2	0	0	0
121	1970	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	1970	5	2	0	0	41.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7	0	0	0	0.1	0	0	0	0	1.5	8.5	0
123	1970	5	3	0	28.2	38.2	0	3	2	0	0	7.8	4.8	2.7	0	0	0	0.2	-999	0	0.8	35.2	5.8	0	21.8	8.8	0	0	0	0	3	8.5	21.4
124	1970	5	4	17.9	0	0.1	1.2	44.7	1	8	0	18.6	2.5	0	4	4.4	0.5	0.2	0.5	11.2	5.6	50	1.8	2.6	75.8	0.6	0	3.5	0	1.4	0	9.4	3.7
125	1970	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	1970	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	1970	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	1970	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	1970	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	1970	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0
131	1970	5	11	2.8	2.3	0	0	0	0	0	0.8	0	0	-999	0	0.3	0	0.5	0	0	0	0	1.4	0	0	0	0	0	0	0	1.5	6.6	3.6
132	1970	5	12	4.3	7.5	0	1.2	0	0	0.1	0.3	0	0	0	3.6	0	0.5	0	0.3	0.6	0	0	1.5	0	0	0	0.5	5.3	0	0	0.5	3.6	2.6
133	1970	5	13	14	0	0	49.8	0	0	0	0	0	0	1.2	107	30.5	12.4	5.3	4	0	2	0	32	89.2	0	0	0	54.8	0.6	0.6	0	0	0
134	1970	5	14	0	0	0	0.8	0	0.7	0.7	0	0	0	0	0.6	0	2.1	0.6	-999	0	0	0	0.4	0.9	0	0	0	0	0	0	0	0	0
135	1970	5	15	0	0	9.8	0	0.5	0	6.6	1.4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	-999	0.3	0	0	0	0	0	0
136	1970	5	16	0	0.6	91	0	25.7	0	0	0	8.6	1	0.2	0	0	0	0	0	6.4	0	5	0	0	8.1	32	2	0	0	0	0	3.8	1.5
137	1970	5	17	0	0.3	13.2	0	0.8	19.3	6	32.6	17.9	10.2	7.6	1	0	0	17.2	13.7	0	13.4	7.4	0	4.8	4.4	21.1	28	15.1	6.8	15.2	0	0	0.7
138	1970	5	18	0	0	21.7	1.5	15.7	5.2	1.8	2.7	35	50.7	0	0.1	0	1.5	5.1	4.1	0	0	14.9	0	0	95.5	32.8	2.2	0	3.6	0	0	0	0
139	1970	5	19	0	0	0	6	0	0.2	1	0	0.5	0.1	0	0.6	0.1	3.4	0	0	0	0	0	0	0	2.8	0	0.9	0	0	0	0	0	0
140	1970	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0
141	1970	5	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	1970	5	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	1970	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	1970	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	1970	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	1970	5	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0
147	1970	5	27	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.4	0	0	0	0	0	0	0	0	0	0	0	6.4	3.5
148	1970	5	28	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	1970	5	29	0	0	0	13.8	0	0	0	0	-999	0	0	2.9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	1970	5	30	0	0	0	0	1.3	0	0	0	0.5	2	0	0	0	0	0	0	0	0	15	0	0	0	-999	0	0	0	0	0	0	0
151	1970	5	31	0	1.4	0	1.5	9.9	3.3	29.8	0	0	0	0	2	0.3	1	0	-999	0	0	3	0	0.2	0	-999	0	0	0	0.2	0	0	0
152	1970	6	1	0	0	0	0	0	16.6	13	0	0	0	0	1	0	0	0	0	0	2.2	0	0	0	0	-999	0	0	0	0.6	0	0	0
153	1970	6	2	0	0	0	0.2	0	0.8	0	0	0	0	0	5	0	0.2	0	1.6	0	2	0	0	0.5	0	0	0	1.9	0	1	0	0	0
